year,region,r,C,P,mu,beta,sst,sss,CO2atm,up.con
1850,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.91,32.27,287.4,0.014
1851,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.91,32.27,287.6,0.014
1852,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.91,32.27,287.8,0.014
1853,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.91,32.27,288,0.014
1854,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,6.02,32.27,288.2,0.014
1855,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,6.02,32.27,288.27,0.014
1856,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.5,32.27,288.35,0.014
1857,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.82,32.27,288.42,0.014
1858,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,6.64,32.27,288.49,0.014
1859,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.98,32.27,288.57,0.014
1860,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.84,32.27,288.64,0.014
1861,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.79,32.27,288.71,0.014
1862,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.81,32.27,288.79,0.014
1863,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.71,32.27,288.86,0.014
1864,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.84,32.27,288.93,0.014
1865,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.84,32.27,289.01,0.014
1866,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.66,32.27,289.08,0.014
1867,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.69,32.27,289.15,0.014
1868,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.74,32.27,289.23,0.014
1869,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.73,32.27,289.3,0.014
1870,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.57,32.27,289.34,0.014
1871,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.86,32.28,289.38,0.014
1872,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.35,32.32,289.42,0.014
1873,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.52,32.27,289.46,0.014
1874,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.75,32.3,289.5,0.014
1875,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.81,32.26,289.7,0.014
1876,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,6,32.3,289.9,0.014
1877,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,6.01,32.34,290.1,0.014
1878,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,6.11,32.36,290.3,0.014
1879,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.86,32.33,290.52,0.014
1880,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,5.47,32.29,290.74,0.014
1881,Aleutians,6,1.09E-09,4.57E-10,0.5,0.2,6,32.3,290.97,0.014
