year,region,esub1,esubneg1,esub2,CO2aq,C,P,mu,beta,sst,S,CO2atm
1850,Aleutians,1,1,26.5,15.01,1.09E-09,4.57E-10,0.5,0.2,5.80,32.27,287.4
1851,Aleutians,1,1,26.5,15.01,1.09E-09,4.57E-10,0.5,0.2,5.80,32.27,287.6
1852,Aleutians,1,1,26.5,15.02,1.09E-09,4.57E-10,0.5,0.2,5.80,32.27,287.8
1853,Aleutians,1,1,26.5,15.02,1.09E-09,4.57E-10,0.5,0.2,5.80,32.27,288
1854,Aleutians,1,1,26.5,14.91,1.09E-09,4.57E-10,0.5,0.2,6.02,32.27,288.2
1855,Aleutians,1,1,26.5,14.91,1.09E-09,4.57E-10,0.5,0.2,6.02,32.27,288.2733333
1856,Aleutians,1,1,26.5,15.19,1.09E-09,4.57E-10,0.5,0.2,5.50,32.27,288.3466667
1857,Aleutians,1,1,26.5,15.02,1.09E-09,4.57E-10,0.5,0.2,5.82,32.27,288.42
1858,Aleutians,1,1,26.5,14.59,1.09E-09,4.57E-10,0.5,0.2,6.64,32.27,288.4933333
1859,Aleutians,1,1,26.5,14.94,1.09E-09,4.57E-10,0.5,0.2,5.98,32.27,288.5666667
1860,Aleutians,1,1,26.5,15.01,1.09E-09,4.57E-10,0.5,0.2,5.84,32.27,288.64
1861,Aleutians,1,1,26.5,15.04,1.09E-09,4.57E-10,0.5,0.2,5.79,32.27,288.7133333
1862,Aleutians,1,1,26.5,15.03,1.09E-09,4.57E-10,0.5,0.2,5.81,32.27,288.7866667
1863,Aleutians,1,1,26.5,15.09,1.09E-09,4.57E-10,0.5,0.2,5.71,32.27,288.86
1864,Aleutians,1,1,26.5,15.02,1.09E-09,4.57E-10,0.5,0.2,5.84,32.27,288.9333333
1865,Aleutians,1,1,26.5,15.02,1.09E-09,4.57E-10,0.5,0.2,5.84,32.27,289.0066667
1866,Aleutians,1,1,26.5,15.12,1.09E-09,4.57E-10,0.5,0.2,5.66,32.27,289.08
1867,Aleutians,1,1,26.5,15.10,1.09E-09,4.57E-10,0.5,0.2,5.69,32.27,289.1533333
1868,Aleutians,1,1,26.5,15.08,1.09E-09,4.57E-10,0.5,0.2,5.74,32.27,289.2266667
1869,Aleutians,1,1,26.5,15.08,1.09E-09,4.57E-10,0.5,0.2,5.73,32.27,289.3
1870,Aleutians,1,1,26.5,15.17,1.09E-09,4.57E-10,0.5,0.2,5.57,32.27,289.34
1871,Aleutians,1,1,26.5,15.02,1.09E-09,4.57E-10,0.5,0.2,5.86,32.28,289.38
1872,Aleutians,1,1,26.5,15.29,1.09E-09,4.57E-10,0.5,0.2,5.35,32.32,289.42
1873,Aleutians,1,1,26.5,15.21,1.09E-09,4.57E-10,0.5,0.2,5.52,32.27,289.46
